parametro,id4cast
p1,0.542287895
p1,0.526186436
p1,0.528306901
p1,0.052444083
p1,0.519045322
p1,0.526836583
p1,0.540108194
p1,0.529185405
p1,0.541954213
p1,0.533484687
p1,0.53893194
p1,0.51623406
p1,0.05451993
p1,0.555004558
p1,0.528753853
p1,0.528468514
p1,0.530306861
p1,0.505827696
p1,0.518987719
p1,0.524293853
p1,0.543103323
p1,0.507779105
p1,0.524682861
p1,0.532633458
p1,0.54144307
p1,0.051038313
p1,0.531855544
p1,0.530112753
p1,0.52945542
p1,0.544563721
p1,0.525710701
p1,0.547493706
p1,0.521025837
p1,0.538147682
p1,0.05165479
p1,0.522337132
p1,0.51479243
p1,0.531697898
p1,0.523525728
p1,0.052820245
p1,0.525133439
p1,0.533192553
p1,0.52596195
p1,0.540456657
p1,0.525606412
p1,0.529313534
p1,0.052865744
p1,0.510086658
p1,0.528314714
p1,0.052351148
p1,0.543177955
p1,0.525972568
p1,0.532958717
p1,0.051997881
p1,0.499915793
p1,0.528294743
p1,0.529606326
p1,0.519097273
p1,0.533841741
p1,0.54111173
p1,0.525169555
p1,0.527353994
p1,0.529919183
p1,0.528141449
p1,0.533800915
p1,0.051402489
p1,0.522651032
p1,0.520806571
p1,0.005362134
p1,0.524192967
p1,0.53493357
p1,0.529126838
p1,0.55232915
p1,0.530262294
p1,0.517704992
p1,0.530866508
p1,0.524678284
p1,0.516650157
p1,0.055196143
p1,0.539123801
p1,0.524372222
p1,0.534074143
p1,0.532494082
p1,0.517925797
p1,0.528442947
p1,0.516832003
p1,0.535858619
p1,0.054127052
p1,0.514204913
p1,0.53165337
p1,0.528222057
p1,0.525466357
p1,0.525709966
p1,0.05281735
p1,0.053138958
p1,0.543544926
p1,0.519720995
p1,0.546033562
p1,0.524000436
p1,0.542278141
p1,0.517883485
p1,0.529762381
p1,0.051854922
p1,0.533608531
p1,0.537888692
p1,0.529645
p1,0.520144992
p1,0.534136603
p1,0.540307646
p1,0.525283427
p1,0.530419368
p1,0.510977044
p1,0.547276559
p1,0.535034434
p1,0.543371898
p1,0.511499562
p1,0.516809006
p1,0.533297608
p1,0.543724487
p1,0.544267708
p1,0.530424183
p1,0.534308099
p1,0.525739652
p1,0.529128917
p1,0.532888022
p1,0.528711768
p1,0.53610837
p1,0.537431127
p1,0.542770128
p1,0.5263614
p1,0.537079766
p1,0.525653714
p1,0.525743225
p1,0.528915192
p1,0.534369763
p1,0.5261074
p1,0.523213259
p1,0.531185532
p1,0.527179417
p1,0.527963286
p1,0.530838743
p1,0.53223222
p1,0.537509843
p1,0.541969584
p1,0.520193512
p1,0.519244391
p1,0.501885315
p1,0.509776181
p1,0.539309918
p1,0.518199046
p1,0.540402595
p1,0.523965812
p1,0.527900663
p1,0.519499234
p1,0.534807219
p1,0.54131232
p1,0.516137443
p1,0.053733593
p1,0.528450899
p1,0.521770953
p1,0.541649139
p1,0.525347133
p1,0.526157556
p1,0.518140936
p1,0.523110381
p1,0.530814718
p1,0.534297009
p1,0.531841471
p1,0.524551256
p1,0.53317992
p1,0.528899899
p1,0.513464783
p1,0.540617166
p1,0.534884682
p1,0.522684746
p1,0.523143063
p1,0.536807119
p1,0.005390615
p1,0.522651032
p1,0.54486682
p1,0.528937052
p1,0.527729999
p1,0.528962806
p1,0.52277836
p1,0.540978409
p1,0.520167358
p1,0.513600024
p1,0.529358291
p1,0.527323785
p1,0.509171397
p1,0.53161932
p1,0.553438583
p1,0.530685251
p1,0.515727845
p1,0.523907115
p1,0.525048648
p1,0.527567751
p1,0.52784351
p1,0.532406339
p1,0.541666301
p1,0.545539329
p1,0.523324692
p1,0.537524282
p1,0.526971297
p1,0.53918915
p1,0.534257998
p1,0.529677587
p1,0.528836168
p1,0.530723954
